feature,importance_mean,importance_std
weight,16311.43126,172.85174
Year_last_admitted,271.82439,11.45123
covered_by_any_other_company,136.05852,11.92
regular_checkup_last_year,97.70305,13.13711
weight_change_in_last_one_year,39.64431,3.86224
years_of_insurance_with_us,31.87428,4.81
exercise,2.44011,0.79075
avg_glucose_level,2.18455,1.26426
Location,1.33986,0.7096
smoking_status,1.14775,0.80525
age,0.55675,1.74975
Alcohol,0.44822,0.46239
visited_doctor_last_1_year,0.35409,0.35002
heart_disease_history,0.12259,0.18904
adventure_sports,0.03335,0.35434
other_major_disease_history,-0.02452,0.07093
Occupation,-0.22993,0.1681
Gender,-0.31248,0.13302
fat_percentage,-0.60881,1.38666
cholesterol_level,-0.8167,0.39147
bmi,-0.87006,0.81058
daily_avg_steps,-0.89537,1.45468
