rubric_section,marks,rubric_requirement,evidence_in_milestone1_docx,evidence_in_notebook,evidence_file_or_chart,status
Data Report,10 marks,"Dataset shape, rows, columns, and total cells.",Data Report section and dataset profile table.,"Sections 4, 5, and 8 with raw_df.shape and raw_df.size.",outputs/tables/dataset_profile.csv,covered
Data Report,10 marks,"Visual inspection using head, tail, sample records, info, and summaries.","Data Report narrative, dictionary, and descriptive tables.",Initial Data Inspection and Dataset Profile sections.,notebooks/01_milestone1_eda.ipynb,covered
Data Report,10 marks,"Data types, unique counts, missing values, duplicates, and variable descriptions.",Variable Types and Cleanup section.,Data Dictionary and Variable Understanding section.,outputs/tables/data_dictionary_summary.csv,covered
Data Report,10 marks,"Variable type classification, renaming, cleanup, and data inference.",Rubric Coverage Map and Data Report sections.,Column Renaming and Data Cleanup section.,outputs/tables/variable_type_classification.csv; outputs/tables/renaming_and_cleanup.csv,covered
Initial EDA,10 marks,Univariate analysis for numeric variables with distribution and spread.,"Initial EDA target distribution, boxplot, outlier review, and numeric summaries.",Univariate Analysis: Numeric Variables section.,outputs/tables/numeric_summary.csv; outputs/figures/target_distribution.png; outputs/figures/outlier_boxplots.png,covered
Initial EDA,10 marks,"Categorical distribution for categorical, binary, and ordinal variables.",Initial EDA and appendix group summaries.,"Univariate Analysis: Categorical, Binary, and Ordinal Variables section.",outputs/tables/categorical_frequency.csv; outputs/tables/group_summary_*.csv,covered
Initial EDA,10 marks,Bivariate analysis and correlation analysis with insight summaries.,Initial EDA and Extensive EDA sections.,Bivariate Analysis with Target and Correlation sections.,outputs/figures/correlation_heatmap.png; outputs/tables/feature_signal_strength.csv,covered
Data Pre-processing,10 marks,Unwanted-variable removal and applicant_id treatment.,Data Pre-processing bullets.,Duplicate and Unwanted Variable Analysis section.,insurance_modeling.py; outputs/models/app_schema.json,covered
Data Pre-processing,10 marks,Missing-value treatment for BMI and Year_last_admitted.,Missing Values and Data Pre-processing sections.,Missing Value Analysis and Feature Engineering sections.,outputs/tables/missing_values.csv; outputs/figures/missingness_target_impact.png,covered
Data Pre-processing,10 marks,"Outlier treatment/retention logic, transformations, and new variables.",Data Pre-processing and EDA Conclusion sections.,Outlier Detection and Feature Engineering sections.,outputs/tables/outlier_summary.csv; outputs/tables/cleaned_analysis_data.csv,covered
Extensive EDA,10 marks,Important-variable relationships and insightful visualizations.,Extensive EDA section.,Multivariate and Segmented EDA section.,outputs/figures/weight_vs_cost_jitter.png; outputs/figures/cost_by_weight_line.png; outputs/figures/cost_by_year_last_admitted.png,covered
Extensive EDA,10 marks,"Technical and business interpretation, justified inferences, conclusion, and next steps.",Technical interpretation and Business interpretation paragraphs after charts.,Interpretation blocks after important charts plus final conclusion sections.,Milestone_1_Insurance_Price_Prediction.docx; notebooks/01_milestone1_eda.html,covered
