variant,mean_prediction,mean_actual
raw,7437.49944,7122.648
raw,9586.6328,9432.696
raw,15310.30677,15496.572
raw,20342.18238,20393.084
raw,25163.90553,25247.64
raw,29205.16438,29169.292
raw,33284.66324,33293.32
raw,37040.0445,37177.952
raw,40534.18235,40544.304
raw,53050.6366,53439.604
calibrated,7285.32701,7122.648
calibrated,9656.07897,9447.504
calibrated,15483.18829,15508.912
calibrated,20562.14578,20373.34
calibrated,25220.20959,25240.236
calibrated,29467.7388,29169.292
calibrated,33366.62742,33414.252
calibrated,37203.71491,37054.552
calibrated,40345.91157,40559.112
calibrated,53252.50301,53427.264
