column,clean_column,dtype,missing,missing_pct,unique_values
applicant_id,applicant_id,int64,0,0.0,25000
years_of_insurance_with_us,years_of_insurance_with_us,int64,0,0.0,9
regular_checkup_lasy_year,regular_checkup_last_year,int64,0,0.0,6
adventure_sports,adventure_sports,int64,0,0.0,2
Occupation,Occupation,str,0,0.0,3
visited_doctor_last_1_year,visited_doctor_last_1_year,int64,0,0.0,12
cholesterol_level,cholesterol_level,str,0,0.0,5
daily_avg_steps,daily_avg_steps,int64,0,0.0,4914
age,age,int64,0,0.0,59
heart_decs_history,heart_disease_history,int64,0,0.0,2
other_major_decs_history,other_major_disease_history,int64,0,0.0,2
Gender,Gender,str,0,0.0,2
avg_glucose_level,avg_glucose_level,int64,0,0.0,221
bmi,bmi,float64,990,3.96,465
smoking_status,smoking_status,str,0,0.0,4
Year_last_admitted,Year_last_admitted,float64,11881,47.52,29
Location,Location,str,0,0.0,15
weight,weight,int64,0,0.0,45
covered_by_any_other_company,covered_by_any_other_company,str,0,0.0,2
Alcohol,Alcohol,str,0,0.0,3
exercise,exercise,str,0,0.0,3
weight_change_in_last_one_year,weight_change_in_last_one_year,int64,0,0.0,7
fat_percentage,fat_percentage,int64,0,0.0,32
insurance_cost,insurance_cost,int64,0,0.0,54
