segment_variable,segment,count,actual_mean,predicted_mean,bias_predicted_minus_actual,MAE,RMSE,MAPE
Gender,Male,3246,27273.0727,27288.3402,15.2675,2396.2544,2984.0768,11.594
Gender,Female,1754,26870.1038,26738.6869,-131.4169,2388.6597,2979.4126,11.8771
Location,Surat,289,26767.9792,26777.1817,9.2025,2531.5808,3172.6279,12.4183
Location,Nagpur,351,28360.906,28310.7034,-50.2026,2523.5409,3099.0002,11.9274
Location,Mangalore,359,27560.4791,27309.8247,-250.6544,2498.5423,3150.9829,11.9728
Location,Bhubaneswar,362,27175.2707,27028.9593,-146.3114,2494.8754,3120.8607,12.0457
Location,Pune,347,28029.9366,27865.0341,-164.9025,2480.8574,3010.3665,11.8822
Location,Guwahati,338,28064.3728,28105.19,40.8173,2435.8316,3013.5482,11.1196
Location,Delhi,359,26921.1365,27006.4106,85.2741,2430.7967,3074.2479,11.8269
Location,Jaipur,346,26727.1561,26493.0266,-234.1295,2381.273,2954.5113,11.5807
Location,Chennai,318,27252.7736,26986.2007,-266.5729,2341.8371,2919.359,11.6392
Location,Bangalore,310,26527.0194,26566.1616,39.1423,2340.8939,2879.0138,11.2375
Location,Mumbai,329,26409.1003,26446.5416,37.4413,2319.0348,2895.6546,11.017
Location,Ahmedabad,303,25954.7261,26128.5419,173.8159,2318.4155,2869.0376,12.0718
Location,Lucknow,337,27254.1899,27324.8823,70.6924,2309.1225,2885.8012,12.1035
Location,Kolkata,304,27898.9539,28076.6943,177.7403,2233.277,2821.572,10.8001
Location,Kanpur,348,25871.4483,25873.1147,1.6664,2232.1277,2794.8142,11.6913
