model,target_transform,cv_rmse_mean,cv_rmse_std,train_MAE,train_RMSE,train_R2,train_MAPE,test_MAE,test_RMSE,test_R2,test_MAPE,test_SMAPE,train_test_RMSE_gap,selected_final_model
HistGradientBoostingRegressor,none,2942.5278,38.8014,2211.7835,2755.1436,0.963,10.861,2381.4487,2971.153,0.9568,11.4861,11.1182,216.0094,False
WeightedBlendLightGBMEnhancedHGB,mixed,2943.4948,36.3492,2190.7818,2735.9114,0.9635,10.5749,2379.2146,2971.5392,0.9568,11.363,11.0554,235.6278,False
WeightedBlendLightGBMBaseHGB,mixed,2942.0065,37.6937,2213.5866,2763.0466,0.9628,10.7274,2381.7759,2973.6164,0.9567,11.4215,11.0933,210.5697,False
TunedHistGradientBoostingRegressor,none,2941.9921,,2249.2845,2798.6242,0.9619,11.0933,2384.8831,2974.4235,0.9567,11.5611,11.1673,175.7993,False
LightGBMRegressor,none,2952.3357,33.9088,2139.7115,2672.7473,0.9652,10.4536,2380.6449,2976.2816,0.9567,11.4407,11.0915,303.5343,False
WeightedBlendBaseEnhancedHGB,mixed,2940.5779,38.7771,2256.8315,2817.1673,0.9613,10.95,2385.2706,2977.4584,0.9566,11.4773,11.129,160.2912,False
BaseLightGBMRegressor,none,2955.2118,35.8886,2166.4538,2699.9157,0.9645,10.6245,2384.1059,2978.0671,0.9566,11.4385,11.0981,278.1514,False
BaseHistGradientBoostingRegressor,none,2947.1901,38.1838,2240.5726,2791.732,0.962,10.985,2387.3391,2980.0395,0.9566,11.5021,11.1345,188.3075,False
BaseHistGradientBoostingRegressorAlt,none,2942.4318,38.2518,2286.0267,2844.1556,0.9606,11.3433,2393.5902,2982.4414,0.9565,11.6933,11.2602,138.2858,True
XGBRegressor,none,2968.5015,35.2799,2227.4987,2776.824,0.9624,10.8306,2402.1544,2987.182,0.9564,11.565,11.2135,210.358,False
EnhancedLightGBMRegressorRegularized,none,2967.0544,31.2029,2266.6562,2825.1146,0.9611,11.0874,2401.7623,2993.0186,0.9562,11.6146,11.234,167.9039,False
LogTargetTunedHistGradientBoostingRegressor,log1p,2959.1582,,2222.9964,2826.1085,0.9611,9.9352,2383.3803,2994.9767,0.9561,11.1233,10.965,168.8682,False
LogTargetHistGradientBoostingRegressor,log1p,2963.4221,41.6591,2254.2673,2852.7697,0.9604,10.2475,2389.0727,2996.7785,0.9561,11.1713,11.0105,144.0089,False
CatBoostRegressor,none,2968.6454,38.9454,2264.1923,2817.8786,0.9613,10.9278,2410.0886,2998.8728,0.956,11.5504,11.2116,180.9941,False
GradientBoostingRegressor,none,2965.3078,37.1802,2330.4236,2898.8034,0.9591,11.3683,2415.6837,3000.6134,0.956,11.6799,11.3078,101.8101,False
DecisionTreeRegressor,none,3182.4518,31.3909,2135.8092,2706.5273,0.9643,10.1676,2497.9974,3168.8519,0.9509,11.8295,11.451,462.3246,False
Ridge,none,3289.7906,36.0132,2654.4295,3272.1214,0.9479,14.7943,2744.8449,3378.9149,0.9442,15.2919,15.5324,106.7934,False
LinearRegression,none,3289.945,35.8025,2654.5941,3272.0908,0.9479,14.7969,2745.2974,3379.1483,0.9441,15.2967,15.5367,107.0575,False
RandomForestRegressor,none,5068.307,142.6921,3292.4421,4299.5526,0.91,19.1357,3768.0114,4906.5478,0.8822,21.8649,18.1595,606.9952,False
ExtraTreesRegressor,none,6212.8596,128.1876,3933.0364,4960.6945,0.8802,23.6993,4884.4541,6167.0518,0.814,29.5098,23.1353,1206.3573,False
LogTargetRidge,log1p,6752.7252,195.8272,4373.3889,6720.8158,0.78,18.1791,4272.1745,6456.3507,0.7961,18.0403,17.1745,-264.4651,False
DummyRegressor,none,14331.3417,139.757,11825.1514,14329.6197,0.0,80.2954,11805.0389,14298.5236,-0.0,80.1833,47.8565,-31.0961,False
