column,count,mean,std,min,25%,50%,75%,max
applicant_id,25000.0,17499.5,7217.022700994273,5000.0,11249.75,17499.5,23749.25,29999.0
years_of_insurance_with_us,25000.0,4.08904,2.606611527509654,0.0,2.0,4.0,6.0,8.0
regular_checkup_lasy_year,25000.0,0.77368,1.199448541902564,0.0,0.0,0.0,1.0,5.0
adventure_sports,25000.0,0.08172,0.27394313897912415,0.0,0.0,0.0,0.0,1.0
visited_doctor_last_1_year,25000.0,3.1042,1.1416630395085194,0.0,2.0,3.0,4.0,12.0
daily_avg_steps,25000.0,5215.88932,1053.1797480455107,2034.0,4543.0,5089.0,5730.0,11255.0
age,25000.0,44.91832,16.107492245221078,16.0,31.0,45.0,59.0,74.0
heart_decs_history,25000.0,0.05464,0.2272807441501951,0.0,0.0,0.0,0.0,1.0
other_major_decs_history,25000.0,0.09816,0.2975368137327229,0.0,0.0,0.0,0.0,1.0
avg_glucose_level,25000.0,167.53,62.72971242300435,57.0,113.0,168.0,222.0,277.0
bmi,24010.0,31.39332778009163,7.876534646573175,12.3,26.1,30.5,35.6,100.6
Year_last_admitted,13119.0,2003.8922173946185,7.581521152239587,1990.0,1997.0,2004.0,2010.0,2018.0
weight,25000.0,71.61048,9.325182707641778,52.0,64.0,72.0,78.0,96.0
weight_change_in_last_one_year,25000.0,2.51796,1.6903347975087972,0.0,1.0,3.0,4.0,6.0
fat_percentage,25000.0,28.81228,8.632382169626002,11.0,21.0,31.0,36.0,42.0
insurance_cost,25000.0,27147.40768,14323.69183175988,2468.0,16042.0,27148.0,37020.0,67870.0
