insurance_cost,train_count,test_count,train_pct,test_pct
2468,10,2,0.05,0.04
3702,247,62,1.235,1.24
4936,158,39,0.79,0.78
6170,776,194,3.88,3.88
7404,971,243,4.855,4.86
8638,763,191,3.815,3.82
9872,594,148,2.97,2.96
11106,345,86,1.725,1.72
12340,298,75,1.49,1.5
13574,363,91,1.815,1.82
14808,455,114,2.275,2.28
16042,462,116,2.31,2.32
17276,515,129,2.575,2.58
18510,492,123,2.46,2.46
19744,510,127,2.55,2.54
20978,574,143,2.87,2.86
22212,526,132,2.63,2.64
23446,507,127,2.535,2.54
24680,535,134,2.675,2.68
25914,623,156,3.115,3.12
27148,575,144,2.875,2.88
28382,676,169,3.38,3.38
29616,613,153,3.065,3.06
30850,594,149,2.97,2.98
32084,542,135,2.71,2.7
33318,586,147,2.93,2.94
34552,686,171,3.43,3.42
35786,661,166,3.305,3.32
37020,695,174,3.475,3.48
38254,781,196,3.905,3.92
39488,582,145,2.91,2.9
40722,379,95,1.895,1.9
41956,311,78,1.555,1.56
43190,212,53,1.06,1.06
44424,202,51,1.01,1.02
45658,186,47,0.93,0.94
46892,203,51,1.015,1.02
48126,207,52,1.035,1.04
49360,191,48,0.955,0.96
50594,159,40,0.795,0.8
51828,142,35,0.71,0.7
53062,154,38,0.77,0.76
54296,138,34,0.69,0.68
55530,122,30,0.61,0.6
56764,98,24,0.49,0.48
57998,90,23,0.45,0.46
59232,112,28,0.56,0.56
60466,110,27,0.55,0.54
61700,56,14,0.28,0.28
62934,70,17,0.35,0.34
64168,62,15,0.31,0.3
65402,45,11,0.225,0.22
66636,22,5,0.11,0.1
67870,14,3,0.07,0.06
