insurance_cost,customer_count,pct
2468,12,0.048
3702,309,1.236
4936,197,0.788
6170,970,3.88
7404,1214,4.856
8638,954,3.816
9872,742,2.968
11106,431,1.724
12340,373,1.492
13574,454,1.816
14808,569,2.276
16042,578,2.312
17276,644,2.576
18510,615,2.46
19744,637,2.548
20978,717,2.868
22212,658,2.632
23446,634,2.536
24680,669,2.676
25914,779,3.116
27148,719,2.876
28382,845,3.38
29616,766,3.064
30850,743,2.972
32084,677,2.708
33318,733,2.932
34552,857,3.428
35786,827,3.308
37020,869,3.476
38254,977,3.908
39488,727,2.908
40722,474,1.896
41956,389,1.556
43190,265,1.06
44424,253,1.012
45658,233,0.932
46892,254,1.016
48126,259,1.036
49360,239,0.956
50594,199,0.796
51828,177,0.708
53062,192,0.768
54296,172,0.688
55530,152,0.608
56764,122,0.488
57998,113,0.452
59232,140,0.56
60466,137,0.548
61700,70,0.28
62934,87,0.348
64168,77,0.308
65402,56,0.224
66636,27,0.108
67870,17,0.068
