original_column,clean_column,business_description,data_type_raw,analysis_type,role,unique_count,missing_count,example_values,preprocessing_action,reason
applicant_id,applicant_id,Unique applicant identifier used only for record tracing.,int64,identifier,identifier,25000,0,"5000, 5001, 5002",retain for audit only; drop from modeling,Unique row key would leak identity-like noise and cannot generalize.
years_of_insurance_with_us,years_of_insurance_with_us,Tenure with the insurer.,int64,ordinal discrete numeric,predictor,9,0,"3, 0, 1","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
regular_checkup_lasy_year,regular_checkup_last_year,Number of routine checkups in the previous year.,int64,ordinal discrete numeric,predictor,6,0,"1, 0, 4",normalize misspelled source name; preserve numeric/category meaning,Required for rubric data understanding and consistent train-time preprocessing.
adventure_sports,adventure_sports,Whether the applicant participates in adventure sports.,int64,binary categorical,predictor,2,0,"1, 0","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
Occupation,Occupation,Applicant occupation category.,str,nominal categorical,predictor,3,0,"Salried, Student, Business","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
visited_doctor_last_1_year,visited_doctor_last_1_year,Number of doctor visits in the previous year.,int64,ordinal discrete numeric,predictor,12,0,"2, 4, 3","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
cholesterol_level,cholesterol_level,Ordinal cholesterol range category.,str,ordinal categorical,predictor,5,0,"125 to 150, 150 to 175, 200 to 225",retain ordinal category and engineer cholesterol midpoint,Ranges are ordered and can support both category and midpoint representations.
daily_avg_steps,daily_avg_steps,Applicant attribute: daily_avg_steps.,int64,continuous numeric,predictor,4914,0,"4866, 6411, 4509","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
age,age,Applicant age.,int64,continuous numeric,predictor,59,0,"28, 50, 68","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
heart_decs_history,heart_disease_history,Historical heart-disease flag.,int64,binary categorical,predictor,2,0,"1, 0",normalize misspelled source name; preserve numeric/category meaning,Required for rubric data understanding and consistent train-time preprocessing.
other_major_decs_history,other_major_disease_history,Historical other-major-disease flag.,int64,binary categorical,predictor,2,0,"0, 1",normalize misspelled source name; preserve numeric/category meaning,Required for rubric data understanding and consistent train-time preprocessing.
Gender,Gender,Applicant gender.,str,nominal categorical,predictor,2,0,"Male, Female","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
avg_glucose_level,avg_glucose_level,Average glucose level.,int64,continuous numeric,predictor,221,0,"97, 212, 166","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
bmi,bmi,Body mass index.,float64,continuous numeric,predictor,465,990,"31.2, 34.2, 40.4",create missingness flag; impute using train-fitted median logic,BMI has missing values and valid extreme values requiring explicit handling.
smoking_status,smoking_status,Applicant smoking status.,str,nominal categorical,predictor,4,0,"Unknown, formerly smoked, never smoked","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
Year_last_admitted,Year_last_admitted,Most recent hospital admission year when available.,float64,numeric with structural missingness,predictor,29,11881,"2004.0, 2003.0, 2007.0",create admission flags/status and recency; keep missingness signal,Missing admission year means no known admission history rather than a normal year value.
Location,Location,Applicant location.,str,nominal categorical,predictor,15,0,"Chennai, Jaipur, Bangalore","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
weight,weight,Applicant weight.,int64,continuous numeric,predictor,45,0,"67, 58, 73","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
covered_by_any_other_company,covered_by_any_other_company,Whether another insurance company already covers the applicant.,str,nominal categorical,predictor,2,0,"N, Y","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
Alcohol,Alcohol,Alcohol-use flag/category.,str,nominal categorical,predictor,3,0,"Rare, Daily, No","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
exercise,exercise,Exercise habit category.,str,nominal categorical,predictor,3,0,"Moderate, Extreme, No","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
weight_change_in_last_one_year,weight_change_in_last_one_year,Weight-change category over the last year.,int64,ordinal discrete numeric,predictor,7,0,"1, 3, 0","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
fat_percentage,fat_percentage,Applicant body-fat percentage.,int64,continuous numeric,predictor,32,0,"25, 27, 32","validate type, preserve for EDA, and feed through modeling pipeline",Required for rubric data understanding and consistent train-time preprocessing.
insurance_cost,insurance_cost,Historical insurance quote or premium cost.,int64,discrete numeric quote grid / regression target,target,54,0,"20978, 6170, 28382",retain as target; analyze as quote grid,Business output to be predicted; values form a fixed quote-band grid.
