,dtype,missing,missing_pct,n_unique
applicant_id,int64,0,0.0,25000
years_of_insurance_with_us,int64,0,0.0,9
regular_checkup_last_year,int64,0,0.0,6
adventure_sports,int64,0,0.0,2
Occupation,object,0,0.0,3
visited_doctor_last_1_year,int64,0,0.0,12
cholesterol_level,object,0,0.0,5
daily_avg_steps,int64,0,0.0,4914
age,int64,0,0.0,59
heart_disease_history,int64,0,0.0,2
other_major_disease_history,int64,0,0.0,2
Gender,object,0,0.0,2
avg_glucose_level,int64,0,0.0,221
bmi,float64,990,3.96,465
smoking_status,object,0,0.0,4
Year_last_admitted,float64,11881,47.52,29
Location,object,0,0.0,15
weight,int64,0,0.0,45
covered_by_any_other_company,object,0,0.0,2
Alcohol,object,0,0.0,3
exercise,object,0,0.0,3
weight_change_in_last_one_year,int64,0,0.0,7
fat_percentage,int64,0,0.0,32
insurance_cost,int64,0,0.0,54
