model,train_MAE,train_RMSE,train_R2,train_MAPE,train_SMAPE,test_MAE,test_RMSE,test_R2,test_MAPE,test_SMAPE,train_test_RMSE_gap,cv_rmse_mean,cv_rmse_std
LightGBM,2178.4897081343097,2713.954540044218,0.9641606822384841,10.6442656407597,10.335236261749628,2328.381928497112,2909.1720839414193,0.9584593217829473,11.254964591511907,10.911143525438442,195.21754389720127,2975.2786116285547,17.992293808950592
HistGradientBoosting,2249.654702849975,2799.459429076069,0.9618668262633515,11.037011379622054,10.693690840845637,2334.435945194605,2911.7051901026275,0.9583869487798559,11.339969242702413,10.972419436744534,112.24576102655874,2969.154895855516,17.019991341639237
CatBoost,2242.2706817108365,2796.600930977612,0.9619446612569756,10.836537885215733,10.539606710028345,2344.5259581726523,2929.30330111449,0.957882416856797,11.298586745110974,10.973430434792494,132.70237013687802,2969.114256805696,19.062132938995028
GradientBoosting,2362.798840196567,2939.860477359773,0.9579459297534998,11.555131215894557,11.166878439430265,2367.702641319845,2944.1512778830406,0.9574543657209635,11.615872146862822,11.212520904283808,4.290800523267535,2979.1326516103977,20.996252197490826
RandomForest,899.7458029999999,1140.80574022056,0.9936674592693449,4.314505567894762,4.246088100310662,2380.822836,3006.095025080465,0.9556452465457003,11.416441125168978,11.02174548914077,1865.289284859905,3060.9372039783725,16.629029279624866
XGBoost,1675.7220458984375,2128.08349609375,0.9779640436172485,8.278963928478092,8.08093971653263,2427.6396484375,3034.263427734375,0.9548100829124451,11.84390508703947,11.464844550793938,906.179931640625,3122.0703125,26.355259918385148
ExtraTrees,0.0,0.0,1.0,0.0,0.0,2488.563376,3152.681460413608,0.9512140298684679,11.891709418924732,11.464736821896885,3152.681460413608,3164.413512142383,15.936943645410697
Lasso,2694.745434793371,3347.491876223671,0.9454752529147376,15.041233224198852,15.699646338534118,2709.2900928580516,3354.717010991764,0.944760906672111,15.312548541961968,16.026700984839007,7.22513476809263,3356.0867620934823,12.67766114183373
LinearRegression,2694.7213204159875,3347.398491370014,0.9454782950218988,15.042582022277395,15.70236962263245,2710.243788180526,3355.8574362444124,0.9447233435844279,15.31995457359519,16.03612684416796,8.458944874398185,3357.0417400871734,12.900011937193407
Ridge,2694.6790806988915,3347.3996588432115,0.9454782569907887,15.042152267448428,15.701254714099205,2710.1970640158625,3355.885116582697,0.9447224316965493,15.319322971728411,16.035087518534933,8.485457739485355,3357.028425783081,12.999420210158378
DecisionTree,0.0,0.0,1.0,0.0,0.0,3247.1476,4221.398389822974,0.912532353690114,15.114347588594852,14.652111519455133,4221.398389822974,4233.406219040812,53.74446943120697
ElasticNet,4245.847573068624,5331.210585058664,0.8617050659114438,25.225675683134185,20.51877698508163,4227.568781071316,5321.24311451666,0.8610172302765594,25.220580522351447,20.46405317126596,-9.967470542003866,5334.460863805179,68.04744161027408
DummyRegressor,11836.07014281,14335.825363297407,0.0,80.39050138864054,47.94577863858921,11762.00259376,14273.628975033167,-8.213573440940536e-06,79.8681581067423,47.682517009275585,-62.19638826423943,14338.912465562018,41.48434167103513
